fecha,date_id,sales,dia
01-jun,01/06/2021,1691,martes
02-jun,02/06/2021,1602,miércoles
03-jun,03/06/2021,1988,jueves
04-jun,04/06/2021,1875,viernes
05-jun,05/06/2021,1903,sábado
06-jun,06/06/2021,2525,domingo
07-jun,07/06/2021,2349,lunes
08-jun,08/06/2021,2622,martes
09-jun,09/06/2021,2479,miércoles
10-jun,10/06/2021,2613,jueves
11-jun,11/06/2021,3492,viernes
12-jun,12/06/2021,3216,sábado
13-jun,13/06/2021,3860,domingo
14-jun,14/06/2021,3546,lunes
15-jun,15/06/2021,6041,martes
16-jun,16/06/2021,4795,miércoles
17-jun,17/06/2021,5113,jueves
18-jun,18/06/2021,5833,viernes
19-jun,19/06/2021,4472,sábado
20-jun,20/06/2021,4725,domingo
21-jun,21/06/2021,5368,lunes
22-jun,22/06/2021,6143,martes
23-jun,23/06/2021,5615,miércoles
24-jun,24/06/2021,6768,jueves
25-jun,25/06/2021,6517,viernes
26-jun,26/06/2021,6750,sábado
27-jun,27/06/2021,4892,domingo
28-jun,28/06/2021,5777,lunes
29-jun,29/06/2021,7199,martes
30-jun,30/06/2021,6182,miércoles
01-jul,01/07/2021,4718,jueves
02-jul,02/07/2021,5191,viernes
03-jul,03/07/2021,4110,sábado
04-jul,04/07/2021,4089,domingo
05-jul,05/07/2021,4608,lunes
06-jul,06/07/2021,5183,martes
07-jul,07/07/2021,4828,miércoles
08-jul,08/07/2021,5081,jueves
09-jul,09/07/2021,5590,viernes
10-jul,10/07/2021,4426,sábado
11-jul,11/07/2021,4089,domingo
12-jul,12/07/2021,4608,lunes
13-jul,13/07/2021,5183,martes
14-jul,14/07/2021,4828,miércoles
15-jul,15/07/2021,5081,jueves
16-jul,16/07/2021,5590,viernes
17-jul,17/07/2021,4426,sábado
18-jul,18/07/2021,3213,domingo
19-jul,19/07/2021,3620,lunes
20-jul,20/07/2021,4072,martes
21-jul,21/07/2021,3794,miércoles
22-jul,22/07/2021,3992,jueves
23-jul,23/07/2021,4394,viernes
24-jul,24/07/2021,3477,sábado
25-jul,25/07/2021,3213,domingo
26-jul,26/07/2021,3620,lunes
27-jul,27/07/2021,4072,martes
28-jul,28/07/2021,3794,miércoles
29-jul,29/07/2021,3992,jueves
30-jul,30/07/2021,4394,viernes
31-jul,31/07/2021,3477,sábado
1-Aug,01/08/2021,4675,domingo
2-Aug,02/08/2021,5100,lunes
3-Aug,03/08/2021,5206,martes
4-Aug,04/08/2021,4492,miércoles
5-Aug,05/08/2021,4671,jueves
6-Aug,06/08/2021,5281,viernes
7-Aug,07/08/2021,4345,sábado
8-Aug,08/08/2021,4174,domingo
9-Aug,09/08/2021,4692,lunes
10-Aug,10/08/2021,4941,martes
11-Aug,11/08/2021,4450,miércoles
12-Aug,12/08/2021,5893,jueves
13-Aug,13/08/2021,7089,viernes
14-Aug,14/08/2021,4320,sábado
15-Aug,15/08/2021,4574,domingo
16-Aug,16/08/2021,4672,lunes
17-Aug,17/08/2021,4535,martes
18-Aug,18/08/2021,4486,miércoles
19-Aug,19/08/2021,7381,jueves
20-Aug,20/08/2021,6546,viernes
21-Aug,21/08/2021,5190,sábado
22-Aug,22/08/2021,4052,domingo
23-Aug,23/08/2021,4519,lunes
24-Aug,24/08/2021,4313,martes
25-Aug,25/08/2021,5401,miércoles
26-Aug,26/08/2021,4629,jueves
27-Aug,27/08/2021,4950,viernes
28-Aug,28/08/2021,6697,sábado
29-Aug,29/08/2021,4044,domingo
30-Aug,30/08/2021,4500,lunes
31-Aug,31/08/2021,4285,martes
01-sep,01/09/2021,6915,miércoles
02-sep,02/09/2021,4211,jueves
03-sep,03/09/2021,3690,viernes
04-sep,04/09/2021,4353,sábado
05-sep,05/09/2021,4387,domingo
06-sep,06/09/2021,4651,lunes
07-sep,07/09/2021,5469,martes
08-sep,08/09/2021,4305,miércoles
09-sep,09/09/2021,4023,jueves
10-sep,10/09/2021,5334,viernes
11-sep,11/09/2021,6527,sábado
12-sep,12/09/2021,4789,domingo
13-sep,13/09/2021,5133,lunes
14-sep,14/09/2021,5005,martes
15-sep,15/09/2021,7085,miércoles
16-sep,16/09/2021,4551,jueves
17-sep,17/09/2021,4804,viernes
18-sep,18/09/2021,4580,sábado
19-sep,19/09/2021,4760,domingo
20-sep,20/09/2021,5080,lunes
21-sep,21/09/2021,4888,martes
22-sep,22/09/2021,5883,miércoles
23-sep,23/09/2021,4921,jueves
24-sep,24/09/2021,4414,viernes
25-sep,25/09/2021,4564,sábado
26-sep,26/09/2021,4850,domingo
27-sep,27/09/2021,6024,lunes
28-sep,28/09/2021,4998,martes
29-sep,29/09/2021,4711,miércoles
30-sep,30/09/2021,4616,jueves
01-oct,01/10/2021,4977,viernes
02-oct,02/10/2021,4221,sábado
03-oct,03/10/2021,4382,domingo
04-oct,04/10/2021,5222,lunes
05-oct,05/10/2021,5185,martes
06-oct,06/10/2021,4810,miércoles
07-oct,07/10/2021,4986,jueves
08-oct,08/10/2021,4560,viernes
09-oct,09/10/2021,3862,sábado
10-oct,10/10/2021,4102,domingo
11-oct,11/10/2021,5337,lunes
12-oct,12/10/2021,5310,martes
13-oct,13/10/2021,4921,miércoles
14-oct,14/10/2021,5105,jueves
15-oct,15/10/2021,4670,viernes
16-oct,16/10/2021,3958,sábado
17-oct,17/10/2021,4536,domingo
18-oct,18/10/2021,6017,lunes
19-oct,19/10/2021,5960,martes
20-oct,20/10/2021,5535,miércoles
21-oct,21/10/2021,5734,jueves
22-oct,22/10/2021,5243,viernes
23-oct,23/10/2021,4438,sábado
24-oct,24/10/2021,4722,domingo
25-oct,25/10/2021,6131,lunes
26-oct,26/10/2021,6085,martes
27-oct,27/10/2021,5646,miércoles
28-oct,28/10/2021,5853,jueves
29-oct,29/10/2021,5352,viernes
30-oct,30/10/2021,4533,sábado
31-oct,31/10/2021,4475,domingo
01-nov,01/11/2021,4374,lunes
02-nov,02/11/2021,3841,martes
03-nov,03/11/2021,3559,miércoles
04-nov,04/11/2021,3759,jueves
05-nov,05/11/2021,3139,viernes
06-nov,06/11/2021,2802,sábado
07-nov,07/11/2021,3289,domingo
08-nov,08/11/2021,4168,lunes
09-nov,09/11/2021,3841,martes
10-nov,10/11/2021,13317,miércoles
11-nov,11/11/2021,14096,jueves
12-nov,12/11/2021,12437,viernes
13-nov,13/11/2021,14851,sábado
14-nov,14/11/2021,14340,domingo
15-nov,15/11/2021,14340,lunes
16-nov,16/11/2021,15363,martes
17-nov,17/11/2021,6317,miércoles
18-nov,18/11/2021,4153,jueves
19-nov,19/11/2021,3767,viernes
20-nov,20/11/2021,5131,sábado
21-nov,21/11/2021,3946,domingo
22-nov,22/11/2021,5224,lunes
23-nov,23/11/2021,4609,martes
24-nov,24/11/2021,4899,miércoles
25-nov,25/11/2021,4153,jueves
26-nov,26/11/2021,11436,viernes
27-nov,27/11/2021,8913,sábado
28-nov,28/11/2021,2495,domingo
29-nov,29/11/2021,9724,lunes
30-nov,30/11/2021,4968,martes
1-Dec,01/12/2021,6604,miércoles
2-Dec,02/12/2021,6152,jueves
3-Dec,03/12/2021,5830,viernes
4-Dec,04/12/2021,5696,sábado
5-Dec,05/12/2021,6672,domingo
6-Dec,06/12/2021,7033,lunes
7-Dec,07/12/2021,6906,martes
8-Dec,08/12/2021,6552,miércoles
9-Dec,09/12/2021,6155,jueves
10-Dec,10/12/2021,5807,viernes
11-Dec,11/12/2021,6122,sábado
12-Dec,12/12/2021,6917,domingo
13-Dec,13/12/2021,7287,lunes
14-Dec,14/12/2021,7158,martes
15-Dec,15/12/2021,6788,miércoles
16-Dec,16/12/2021,6375,jueves
17-Dec,17/12/2021,6015,viernes
18-Dec,18/12/2021,6490,sábado
19-Dec,19/12/2021,6338,domingo
20-Dec,20/12/2021,6381,lunes
21-Dec,21/12/2021,6402,martes
22-Dec,22/12/2021,6037,miércoles
23-Dec,23/12/2021,5585,jueves
24-Dec,24/12/2021,5316,viernes
25-Dec,25/12/2021,5876,sábado
26-Dec,26/12/2021,6337,domingo
27-Dec,27/12/2021,6308,lunes
28-Dec,28/12/2021,6364,martes
29-Dec,29/12/2021,5898,miércoles
30-Dec,30/12/2021,5427,jueves
